District code,District name,Overall 2020-2021 attendance rate - year to date,Overall 2019-2020 attendance rate,High needs student 2020-2021 attendance rate - year to date,High needs student 2019-2020 attendance rate,Reporting period,Update date
0560011,Granby School District,0.97,0.96,0.95,0.94,June 2021,08/06/2021
0570011,Greenwich School District,0.96,1.00,0.95,1.00,June 2021,08/06/2021
0580011,Griswold School District,0.94,0.95,0.92,0.93,June 2021,08/06/2021
0590011,Groton School District,0.87,0.94,0.83,0.93,June 2021,08/06/2021
0600011,Guilford School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
0620011,Hamden School District,0.89,0.94,0.86,0.93,June 2021,08/06/2021
0630011,Hampton School District,0.94,0.95,0.93,0.94,June 2021,08/06/2021
0640011,Hartford School District,0.83,0.91,0.81,0.90,June 2021,08/06/2021
0650011,Hartland School District,0.91,0.95,0.87,0.95,June 2021,08/06/2021
0670011,Hebron School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
0680011,Kent School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
0690011,Killingly School District,0.89,0.94,0.86,0.93,June 2021,08/06/2021
0710011,Lebanon School District,0.96,0.95,0.95,0.95,June 2021,08/06/2021
0720011,Ledyard School District,0.84,0.95,0.82,0.94,June 2021,08/06/2021
0730011,Lisbon School District,0.95,0.96,0.94,0.95,June 2021,08/06/2021
0740011,Litchfield School District,0.95,0.96,0.94,0.95,June 2021,08/06/2021
0760011,Madison School District,0.97,0.96,0.97,0.96,June 2021,08/06/2021
0770011,Manchester School District,0.89,0.93,0.86,0.92,June 2021,08/06/2021
0780011,Mansfield School District,0.96,0.96,0.94,0.95,June 2021,08/06/2021
0790011,Marlborough School District,0.95,0.96,0.95,0.96,June 2021,08/06/2021
0800011,Meriden School District,0.93,0.95,0.92,0.94,June 2021,08/06/2021
0830011,Middletown School District,0.92,0.94,0.89,0.93,June 2021,08/06/2021
0840011,Milford School District,0.94,0.95,0.91,0.94,June 2021,08/06/2021
0850011,Monroe School District,0.98,0.96,0.96,0.95,June 2021,08/06/2021
0860011,Montville School District,0.92,0.96,0.89,0.95,June 2021,08/06/2021
0880011,Naugatuck School District,0.91,0.94,0.90,0.93,June 2021,08/06/2021
0890011,New Britain School District,0.87,0.93,0.86,0.92,June 2021,08/06/2021
0900011,New Canaan School District,0.98,0.96,0.97,0.95,June 2021,08/06/2021
0910011,New Fairfield School District,0.96,0.95,0.94,0.94,June 2021,08/06/2021
0920011,New Hartford School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
0930011,New Haven School District,0.83,0.93,0.81,0.92,June 2021,08/06/2021
0940011,Newington School District,0.96,0.96,0.94,0.95,June 2021,08/06/2021
0950011,New London School District,0.87,0.94,0.86,0.94,June 2021,08/06/2021
0960011,New Milford School District,0.93,0.96,0.91,0.95,June 2021,08/06/2021
0970011,Newtown School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
0980011,Norfolk School District,0.95,0.96,0.94,0.95,June 2021,08/06/2021
0990011,North Branford School District,0.95,0.95,0.94,0.94,June 2021,08/06/2021
1000011,North Canaan School District,0.96,0.95,0.95,0.95,June 2021,08/06/2021
1010011,North Haven School District,0.97,0.95,0.95,0.94,June 2021,08/06/2021
1020011,North Stonington School District,0.94,0.95,0.91,0.94,June 2021,08/06/2021
1030011,Norwalk School District,0.92,0.95,0.90,0.94,June 2021,08/06/2021
1040011,Norwich School District,0.93,0.95,0.92,0.94,June 2021,08/06/2021
1060011,Old Saybrook School District,0.98,0.94,0.98,0.94,June 2021,08/06/2021
1070011,Orange School District,0.96,0.96,0.95,0.95,June 2021,08/06/2021
1080011,Oxford School District,0.95,0.95,0.93,0.94,June 2021,08/06/2021
1090011,Plainfield School District,0.91,0.94,0.88,0.93,June 2021,08/06/2021
1100011,Plainville School District,0.93,0.95,0.91,0.94,June 2021,08/06/2021
1110011,Plymouth School District,0.90,0.94,0.87,0.93,June 2021,08/06/2021
1120011,Pomfret School District,0.98,0.96,0.96,0.95,June 2021,08/06/2021
1130011,Portland School District,0.94,0.95,0.90,0.94,June 2021,08/06/2021
1140011,Preston School District,0.95,0.95,0.94,0.94,June 2021,08/06/2021
1160011,Putnam School District,0.90,0.94,0.88,0.93,June 2021,08/06/2021
1170011,Redding School District,0.97,0.96,0.97,0.96,June 2021,08/06/2021
1180011,Ridgefield School District,0.98,0.95,0.96,0.94,June 2021,08/06/2021
1190011,Rocky Hill School District,0.96,0.96,0.94,0.95,June 2021,08/06/2021
1210011,Salem School District,0.96,0.96,0.94,0.95,June 2021,08/06/2021
1220011,Salisbury School District,0.97,0.95,0.95,0.94,June 2021,08/06/2021
1230011,Scotland School District,0.95,0.97,0.95,0.97,June 2021,08/06/2021
1240011,Seymour School District,0.95,0.95,0.93,0.94,June 2021,08/06/2021
1250011,Sharon School District,0.96,0.96,0.95,0.95,June 2021,08/06/2021
1260011,Shelton School District,0.95,0.95,0.92,0.95,June 2021,08/06/2021
1270011,Sherman School District,0.96,0.95,0.94,0.95,June 2021,08/06/2021
1280011,Simsbury School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
1290011,Somers School District,0.96,0.96,0.94,0.94,June 2021,08/06/2021
1310011,Southington School District,0.95,0.95,0.92,0.94,June 2021,08/06/2021
1320011,South Windsor School District,0.98,0.96,0.96,0.95,June 2021,08/06/2021
1330011,Sprague School District,0.91,0.94,0.90,0.94,June 2021,08/06/2021
1340011,Stafford School District,0.95,0.95,0.93,0.94,June 2021,08/06/2021
1350011,Stamford School District,0.94,0.95,0.92,0.94,June 2021,08/06/2021
1360011,Sterling School District,0.91,0.94,0.89,0.93,June 2021,08/06/2021
1370011,Stonington School District,0.92,0.95,0.90,0.94,June 2021,08/06/2021
1380011,Stratford School District,0.92,0.94,0.90,0.94,June 2021,08/06/2021
1390011,Suffield School District,0.95,0.95,0.92,0.93,June 2021,08/06/2021
1400011,Thomaston School District,0.93,0.96,0.90,0.94,June 2021,08/06/2021
1410011,Thompson School District,0.90,0.93,0.87,0.92,June 2021,08/06/2021
1420011,Tolland School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
1430011,Torrington School District,0.90,0.95,0.88,0.94,June 2021,08/06/2021
1440011,Trumbull School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
1450011,Union School District,0.98,0.96,,,June 2021,08/06/2021
1460011,Vernon School District,0.94,0.95,0.92,0.94,June 2021,08/06/2021
1470011,Voluntown School District,0.94,0.95,0.94,0.95,June 2021,08/06/2021
1480011,Wallingford School District,0.95,0.95,0.93,0.94,June 2021,08/06/2021
1510011,Waterbury School District,0.90,0.93,0.90,0.93,June 2021,08/06/2021
1520011,Waterford School District,0.95,0.95,0.92,0.94,June 2021,08/06/2021
1530011,Watertown School District,0.95,0.95,0.94,0.94,June 2021,08/06/2021
1540011,Westbrook School District,0.97,0.95,0.96,0.95,June 2021,08/06/2021
1550011,West Hartford School District,0.96,0.95,0.94,0.94,June 2021,08/06/2021
1560011,West Haven School District,0.92,0.94,0.90,0.94,June 2021,08/06/2021
1570011,Weston School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
1580011,Westport School District,0.96,0.96,0.94,0.94,June 2021,08/06/2021
1590011,Wethersfield School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
1600011,Willington School District,0.91,0.95,0.90,0.94,June 2021,08/06/2021
1610011,Wilton School District,0.97,0.97,0.96,0.96,June 2021,08/06/2021
1620011,Winchester School District,0.93,0.94,0.93,0.93,June 2021,08/06/2021
1630011,Windham School District,0.87,0.94,0.85,0.93,June 2021,08/06/2021
1640011,Windsor School District,0.92,0.95,0.89,0.94,June 2021,08/06/2021
1650011,Windsor Locks School District,0.94,0.94,0.91,0.93,June 2021,08/06/2021
1660011,Wolcott School District,0.95,0.95,0.94,0.95,June 2021,08/06/2021
1670011,Woodbridge School District,0.97,0.96,0.96,0.96,June 2021,08/06/2021
1690011,Woodstock School District,0.97,0.95,0.95,0.93,June 2021,08/06/2021
2010012,Regional School District 01,0.88,0.94,0.86,0.92,June 2021,08/06/2021
2040012,Regional School District 04,0.96,0.95,0.95,0.94,June 2021,08/06/2021
2050012,Regional School District 05,0.95,0.96,0.92,0.94,June 2021,08/06/2021
2060012,Regional School District 06,0.95,0.95,0.94,0.94,June 2021,08/06/2021
2070012,Regional School District 07,0.96,0.95,0.95,0.94,June 2021,08/06/2021
2080012,Regional School District 08,0.95,0.96,0.92,0.94,June 2021,08/06/2021
2090012,Regional School District 09,0.95,0.95,0.92,0.93,June 2021,08/06/2021
2100012,Regional School District 10,0.95,0.96,0.93,0.95,June 2021,08/06/2021
2110012,Regional School District 11,0.92,0.95,0.91,0.94,June 2021,08/06/2021
2120012,Regional School District 12,0.94,0.94,0.92,0.94,June 2021,08/06/2021
2130012,Regional School District 13,0.96,0.96,0.93,0.95,June 2021,08/06/2021
2140012,Regional School District 14,0.97,0.95,0.96,0.94,June 2021,08/06/2021
2150012,Regional School District 15,0.97,0.96,0.96,0.94,June 2021,08/06/2021
2160012,Regional School District 16,0.96,0.96,0.94,0.95,June 2021,08/06/2021
